Índice,Último,% Dif.,Máximo,Mínimo,Fecha,Hora,% Dif. Año
Latibex BRASIL,"10.954,40","1,46%","10.954,40","10.782,80",17/02/2023,17:38:00,"-2,16%"
I.G.B.M.,"928,07","0,04%","930,88","919,42",17/02/2023,17:38:00,"13,15%"
I.G.B.M. Total,"4.280,26","0,04%","4.280,26","4.280,26",17/02/2023,,"13,65%"
BCN GLOBAL 100 (Base 1986),"768,43","0,00%","770,85","761,14",17/02/2023,17:38:00,"15,25%"
BCN GLOBAL 100 (Base 1963),"1.974,99","0,00%","1.981,21","1.956,25",17/02/2023,17:38:00,"15,25%"
BCN MID 50,"26.062,06","0,18%","26.090,65","25.893,72",17/02/2023,17:38:00,"17,33%"
BCN PROFIT-30,"12.284,63","-0,14%","12.322,16","12.180,81",17/02/2023,17:38:00,"12,09%"
BCN ROE-30,"17.332,68","0,34%","17.381,04","17.110,33",17/02/2023,17:38:00,"9,84%"
BCN PER-30,"19.327,09","0,24%","19.376,06","19.103,65",17/02/2023,17:38:00,"11,91%"
BCN INDEXCAT,"22.989,51","0,90%","23.016,74","22.544,74",17/02/2023,17:38:00,"20,55%"
I.BILBAO 2000,"1.482,48","0,16%","1.487,40","1.467,64",17/02/2023,17:38:00,"13,13%"
I.G.B.V.,"1.433,39","0,11%","1.437,88","1.419,80",17/02/2023,17:38:00,"14,17%"
Índice TEF Apalancado X3,"243,80","3,57%","246,40","230,30",17/02/2023,17:38:00,"40,03%"
Índice SAN Apalancado X3,"370,80","-2,55%","383,00","363,70",17/02/2023,17:38:00,"91,43%"
Índice BBVA Apalancado X3,"882,20","-1,47%","897,20","863,50",17/02/2023,17:38:00,"84,41%"
Índice ITX Apalancado X3,"2.722,70","3,46%","2.778,20","2.586,90",17/02/2023,17:38:00,"51,48%"
Índice TEF Apalancado X5,"169,50","5,94%","172,50","154,20",17/02/2023,17:38:00,"70,35%"
Índice SAN Apalancado X5,"734,40","-4,25%","775,40","710,70",17/02/2023,17:38:00,"180,31%"
Índice BBVA Apalancado X5,"463,70","-2,46%","477,00","447,10",17/02/2023,17:38:00,"167,26%"
Índice ITX Apalancado X5,"67,90","5,76%","70,20","62,40",17/02/2023,17:38:00,"91,81%"
Índice TEF Inverso X3,"405,50","-3,61%","429,60","400,90",17/02/2023,17:38:00,"-33,59%"
Índice SAN Inverso X3,"8.195,90","2,51%","8.344,40","7.939,40",17/02/2023,17:38:00,"432,78%"
Índice BBVA Inverso X3,"4.679,50","1,43%","4.776,20","4.602,50",17/02/2023,17:38:00,"-50,58%"
Índice ITX Inverso X3,"75,20","-3,47%","79,20","73,50",17/02/2023,17:38:00,"-39,21%"
Índice TEF Inverso X5,"2.214,70","-6,01%","2.439,60","2.170,90",17/02/2023,17:38:00,"-51,05%"
Índice SAN Inverso X5,"115,10","4,16%","118,50","109,20",17/02/2023,17:38:00,"-74,28%"
Índice BBVA Inverso X5,"127,50","2,41%","131,80","124,00",17/02/2023,17:38:00,"-70,61%"
Índice ITX Inverso X5,"115,20","-5,81%","125,70","110,90",17/02/2023,17:38:00,"-58,08%"
